154:  bodyHeight£¨r£©=5,fuzelength=3, headlength=3, bodylength=45, rearlength=9, rearheigth=2
155:  bodyHeight£¨r£©=5,fuzelength=3, headlength=3, bodylength=45, rearlength=9, rearheigth=4
156:  bodyHeight£¨r£©=5,fuzelength=3, headlength=6, bodylength=48, rearlength=3, rearheigth=2
157:  bodyHeight£¨r£©=5,fuzelength=3, headlength=6, bodylength=48, rearlength=3, rearheigth=4
158:  bodyHeight£¨r£©=5,fuzelength=3, headlength=6, bodylength=45, rearlength=6, rearheigth=2
159:  bodyHeight£¨r£©=5,fuzelength=3, headlength=6, bodylength=45, rearlength=6, rearheigth=4
160:  bodyHeight£¨r£©=5,fuzelength=3, headlength=6, bodylength=42, rearlength=9, rearheigth=2
161:  bodyHeight£¨r£©=5,fuzelength=3, headlength=6, bodylength=42, rearlength=9, rearheigth=4
162:  bodyHeight£¨r£©=5,fuzelength=3, headlength=9, bodylength=45, rearlength=3, rearheigth=2
163:  bodyHeight£¨r£©=5,fuzelength=3, headlength=9, bodylength=45, rearlength=3, rearheigth=4
164:  bodyHeight£¨r£©=5,fuzelength=3, headlength=9, bodylength=42, rearlength=6, rearheigth=2
165:  bodyHeight£¨r£©=5,fuzelength=3, headlength=9, bodylength=42, rearlength=6, rearheigth=4
166:  bodyHeight£¨r£©=5,fuzelength=3, headlength=9, bodylength=39, rearlength=9, rearheigth=2
167:  bodyHeight£¨r£©=5,fuzelength=3, headlength=9, bodylength=39, rearlength=9, rearheigth=4
168:  bodyHeight£¨r£©=5,fuzelength=3, headlength=12, bodylength=42, rearlength=3, rearheigth=2
169:  bodyHeight£¨r£©=5,fuzelength=3, headlength=12, bodylength=42, rearlength=3, rearheigth=4
170:  bodyHeight£¨r£©=5,fuzelength=3, headlength=12, bodylength=39, rearlength=6, rearheigth=2
171:  bodyHeight£¨r£©=5,fuzelength=3, headlength=12, bodylength=39, rearlength=6, rearheigth=4
172:  bodyHeight£¨r£©=5,fuzelength=3, headlength=12, bodylength=36, rearlength=9, rearheigth=2
173:  bodyHeight£¨r£©=5,fuzelength=3, headlength=12, bodylength=36, rearlength=9, rearheigth=4
174:  bodyHeight£¨r£©=5,fuzelength=3, headlength=15, bodylength=39, rearlength=3, rearheigth=2
175:  bodyHeight£¨r£©=5,fuzelength=3, headlength=15, bodylength=39, rearlength=3, rearheigth=4
176:  bodyHeight£¨r£©=5,fuzelength=3, headlength=15, bodylength=36, rearlength=6, rearheigth=2
177:  bodyHeight£¨r£©=5,fuzelength=3, headlength=15, bodylength=36, rearlength=6, rearheigth=4
178:  bodyHeight£¨r£©=5,fuzelength=3, headlength=15, bodylength=33, rearlength=9, rearheigth=2
179:  bodyHeight£¨r£©=5,fuzelength=3, headlength=15, bodylength=33, rearlength=9, rearheigth=4
180:  bodyHeight£¨r£©=5,fuzelength=3, headlength=18, bodylength=36, rearlength=3, rearheigth=2
181:  bodyHeight£¨r£©=5,fuzelength=3, headlength=18, bodylength=36, rearlength=3, rearheigth=4
182:  bodyHeight£¨r£©=5,fuzelength=3, headlength=18, bodylength=33, rearlength=6, rearheigth=2
183:  bodyHeight£¨r£©=5,fuzelength=3, headlength=18, bodylength=33, rearlength=6, rearheigth=4
184:  bodyHeight£¨r£©=5,fuzelength=3, headlength=18, bodylength=30, rearlength=9, rearheigth=2
185:  bodyHeight£¨r£©=5,fuzelength=3, headlength=18, bodylength=30, rearlength=9, rearheigth=4
186:  bodyHeight£¨r£©=5,fuzelength=3, headlength=21, bodylength=33, rearlength=3, rearheigth=2
187:  bodyHeight£¨r£©=5,fuzelength=3, headlength=21, bodylength=33, rearlength=3, rearheigth=4
188:  bodyHeight£¨r£©=5,fuzelength=3, headlength=21, bodylength=30, rearlength=6, rearheigth=2
189:  bodyHeight£¨r£©=5,fuzelength=3, headlength=21, bodylength=30, rearlength=6, rearheigth=4
190:  bodyHeight£¨r£©=5,fuzelength=3, headlength=21, bodylength=27, rearlength=9, rearheigth=2
191:  bodyHeight£¨r£©=5,fuzelength=3, headlength=21, bodylength=27, rearlength=9, rearheigth=4
192:  bodyHeight£¨r£©=5,fuzelength=3, headlength=24, bodylength=30, rearlength=3, rearheigth=2
193:  bodyHeight£¨r£©=5,fuzelength=3, headlength=24, bodylength=30, rearlength=3, rearheigth=4
194:  bodyHeight£¨r£©=5,fuzelength=3, headlength=24, bodylength=27, rearlength=6, rearheigth=2
195:  bodyHeight£¨r£©=5,fuzelength=3, headlength=24, bodylength=27, rearlength=6, rearheigth=4
196:  bodyHeight£¨r£©=5,fuzelength=3, headlength=24, bodylength=24, rearlength=9, rearheigth=2
197:  bodyHeight£¨r£©=5,fuzelength=3, headlength=24, bodylength=24, rearlength=9, rearheigth=4
198:  bodyHeight£¨r£©=5,fuzelength=3, headlength=27, bodylength=27, rearlength=3, rearheigth=2
199:  bodyHeight£¨r£©=5,fuzelength=3, headlength=27, bodylength=27, rearlength=3, rearheigth=4
200:  bodyHeight£¨r£©=5,fuzelength=3, headlength=27, bodylength=24, rearlength=6, rearheigth=2
201:  bodyHeight£¨r£©=5,fuzelength=3, headlength=27, bodylength=24, rearlength=6, rearheigth=4
202:  bodyHeight£¨r£©=5,fuzelength=3, headlength=27, bodylength=21, rearlength=9, rearheigth=2
203:  bodyHeight£¨r£©=5,fuzelength=3, headlength=27, bodylength=21, rearlength=9, rearheigth=4
204:  bodyHeight£¨r£©=5,fuzelength=3, headlength=30, bodylength=24, rearlength=3, rearheigth=2
205:  bodyHeight£¨r£©=5,fuzelength=3, headlength=30, bodylength=24, rearlength=3, rearheigth=4
206:  bodyHeight£¨r£©=5,fuzelength=3, headlength=30, bodylength=21, rearlength=6, rearheigth=2
207:  bodyHeight£¨r£©=5,fuzelength=3, headlength=30, bodylength=21, rearlength=6, rearheigth=4
208:  bodyHeight£¨r£©=5,fuzelength=3, headlength=30, bodylength=18, rearlength=9, rearheigth=2
209:  bodyHeight£¨r£©=5,fuzelength=3, headlength=30, bodylength=18, rearlength=9, rearheigth=4
210:  bodyHeight£¨r£©=5,fuzelength=3, headlength=33, bodylength=21, rearlength=3, rearheigth=2
211:  bodyHeight£¨r£©=5,fuzelength=3, headlength=33, bodylength=21, rearlength=3, rearheigth=4
212:  bodyHeight£¨r£©=5,fuzelength=3, headlength=33, bodylength=18, rearlength=6, rearheigth=2
213:  bodyHeight£¨r£©=5,fuzelength=3, headlength=33, bodylength=18, rearlength=6, rearheigth=4
214:  bodyHeight£¨r£©=5,fuzelength=3, headlength=33, bodylength=15, rearlength=9, rearheigth=2
215:  bodyHeight£¨r£©=5,fuzelength=3, headlength=33, bodylength=15, rearlength=9, rearheigth=4
